id,name,age,gender,offense_type,sentence_duration_years,release_date,employment_status,support_program_enrolled,housing_status,reoffended,education_level,skills_certifications,counseling_sessions_attended
6b975ff6-4970-4ed9-9ae3-f9b7fe4fe2a4,Joseph Williams,52,male,arson,11,2020-03-12,part_time_employment,none,shared_housing,no,gcses,landscaping_and_gardening,9
f1956fa9-968c-4302-bb35-decd9c53839c,Nicholas Powers,19,female,drug_trafficking,12,2024-02-11,employed,job_readiness_program,stable_housing,no,gcses,carpentry_skills,1
9586d12e-977b-4240-a007-bb58b6a2ea52,Haley Smith,53,male,arson,13,2022-07-28,self_employed,financial_literacy_program,shared_housing,no,postgraduate_degree,health_and_safety_training,20
002cbd61-8589-404e-be93-65e964edef8f,Jacqueline Wood,24,other,credit_card_fraud,5,2020-11-30,employed,entrepreneurship_program,shared_housing,no,a_levels,communication_skills,19
c47d180d-50d0-4ffb-ae5f-e53e04b99757,Amanda Baker,38,other,cybercrime,12,2021-11-04,self_employed,none,shared_housing,no,no_formal_qualification,welding_certification,6
faac1c35-50de-4f72-962c-9277e933fec4,Heather Everett,44,other,disorderly_conduct,1,2020-11-28,part_time_employment,addiction_recovery_program,shared_housing,no,undergraduate_degree,landscaping_and_gardening,16
66f10cd0-5a4f-4a97-bfa5-0718b8e04ca3,Sandra Adams,18,other,human_trafficking,13,2022-12-06,part_time_employment,none,family_support,no,undergraduate_degree,project_management_basics,6
f8938cf1-e4f6-46d3-a6d6-7caef59f4be8,Stacy Moore,46,female,vandalism,1,2020-01-13,self_employed,mental_health_counseling_program,transitional_housing,no,no_formal_qualification,data_entry,4
c674366e-5232-4007-8e84-ad6bc6585ac4,Christian Caldwell DDS,32,female,tax_evasion,12,2021-10-14,self_employed,anger_management_program,shared_housing,no,postgraduate_degree,none,18
f4900a46-3e34-4cae-adab-a617aa206e7b,Tracy Franklin,51,male,white_collar_crime,13,2023-10-12,part_time_employment,entrepreneurship_program,shared_housing,no,vocational_ualification,it_support_certification,7
f91bb945-36c5-45b9-ad84-d79be58356b9,Teresa Hale,30,male,cybercrime,12,2020-11-19,employed,addiction_recovery_program,family_support,no,vocational_ualification,coding_basics,15
2a422c4e-54ea-4354-b1a5-c11573929dbc,Lance Bishop,56,male,burglary,6,2024-06-30,part_time_employment,job_readiness_program,shared_housing,no,a_levels,landscaping_and_gardening,7
fd06a005-9cf5-430c-bdc1-b57950adecb8,Kelly Rowland,20,male,motor_vehicle_theft,6,2021-10-20,part_time_employment,addiction_recovery_program,family_support,yes,vocational_ualification,catering_and_hospitality,11
7db12d63-0687-42a2-84bd-42f809a237e8,Randy Rollins,53,female,embezzlement,4,2020-04-26,self_employed,vocational_training_program,transitional_housing,yes,postgraduate_degree,landscaping_and_gardening,18
6b775a51-9f7f-4ebe-931b-7762afb42722,Lauren Dennis,52,female,drug_trafficking,15,2019-12-13,part_time_employment,job_readiness_program,shared_housing,yes,gcses,project_management_basics,13
cf5c0768-f805-4483-9b55-80705bdaed8b,Jason Conner,50,female,white_collar_crime,15,2020-01-27,self_employed,anger_management_program,shared_housing,yes,gcses,plumbing_skills,9
837c4acf-43ad-4496-82ef-53533491e3a1,Bryan Cox,30,other,domestic_violence,8,2023-08-28,self_employed,addiction_recovery_program,stable_housing,no,gcses,it_support_certification,19
0c71b0f6-7c9f-4226-96ef-b6ff0f1a9e05,Joseph Bryant,60,female,human_trafficking,13,2021-02-04,employed,none,shared_housing,no,a_levels,plumbing_skills,17
c17006f1-0fae-4269-8e2d-1d7ed6e1923c,Shannon Rocha,29,male,credit_card_fraud,8,2024-07-03,part_time_employment,mental_health_counseling_program,shared_housing,no,a_levels,retail_management_basics,18
898c0317-4582-46dc-bd01-cf07aa93ea19,Tina Rubio,41,female,tax_evasion,12,2024-04-07,employed,computer_skills_trainingparenting_skills_workshop,transitional_housing,yes,postgraduate_degree,coding_basics,0
75631ed5-a97c-452d-9f22-fdac3ab0dbe1,Diana Avila,25,male,money_laundering,13,2023-04-26,self_employed,financial_literacy_program,transitional_housing,no,postgraduate_degree,catering_and_hospitality,17
f974dc73-77f2-47f9-a39a-6e864fc793ca,Carl Hicks,50,female,bribery,8,2023-05-11,self_employed,vocational_training_program,family_support,no,no_formal_qualification,catering_and_hospitality,13
c1f4272a-94e1-4c82-a36b-9c5a48e36ea6,Marc Matthews,44,other,domestic_violence,4,2021-07-16,employed,entrepreneurship_program,shared_housing,yes,postgraduate_degree,welding_certification,17
99a30e50-19b5-4d2c-8538-f6b86d814e68,Thomas Rodriguez,22,male,illegal_weapons_possession,4,2022-06-23,self_employed,none,transitional_housing,no,undergraduate_degree,communication_skills,20
5ba9d009-43ee-42aa-9092-244843134898,Danielle Sanchez,53,male,counterfeiting,15,2022-06-18,part_time_employment,job_readiness_program,shared_housing,yes,undergraduate_degree,first_aid_certification,4
c44d8f48-8498-44e3-b3b5-beac366dfa3b,Collin Davis,56,other,motor_vehicle_theft,7,2023-04-13,part_time_employment,computer_skills_trainingparenting_skills_workshop,family_support,no,a_levels,electrical_installation,0
5df8e91f-e06f-4637-875a-e9769dd8d0cb,Kyle Schultz,49,other,arson,15,2022-11-30,part_time_employment,time_management_trainingsubstance_abuse_treatmentconflict_resolution_programfinancial_planning_workshopliteracy_and_numeracy_traininglife_skills_development_programcommunity_service_engagementpeer_support_groupsemotional_wellbeing_workshopspublic_speaking_trainingresume_and_interview_skillslegal_aid_support_programphysical_fitness_and_wellbeing,family_support,no,no_formal_qualification,landscaping_and_gardening,2
