id,name,age,gender,offense_type,sentence_duration_years,release_date,employment_status,support_program_enrolled,housing_status,reoffended,education_level,skills_certifications,counseling_sessions_attended
ae6fc09b-a44f-4458-9c3b-9296fb4e84ea,Timothy Nguyen,18,female,tax_evasion,15,2022-01-20,part_time_employment,none,family_support,yes,no_formal_qualification,[],19
0822c3c4-2ebf-4ea8-87df-6cca4be61159,Jessica Navarro,26,male,prostitution,13,2021-09-21,unemployed,financial_literacy_program,family_support,yes,undergraduate_degree,"['catering_and_hospitality', 'carpentry_skills', 'small_business_basics', 'welding_certification']",2
ff673e9f-bc44-4025-bdd4-c2ef0ddefbbb,Alexis Bishop,31,male,motor_vehicle_theft,3,2024-11-24,employed,vocational_training_program,family_support,no,vocational_ualification,"['driving_license_commercial', 'small_business_basics']",9
27e5784f-aced-489c-888d-6db90ccb5b14,Andrea Olsen,53,male,tax_evasion,12,2020-06-04,employed,mental_health_counseling_program,transitional_housing,yes,undergraduate_degree,['welding_certification'],15
d0227ad3-ac85-4d0f-8f4a-03ffea364d4d,Brooke Scott,59,other,credit_card_fraud,5,2020-12-25,self_employed,entrepreneurship_program,stable_housing,yes,undergraduate_degree,"['first_aid_certification', 'project_management_basics', 'carpentry_skills', 'electrical_installation', 'communication_skills']",3
5169cedd-3d27-44c9-bc71-7b85275ab0e0,Jose Hernandez,25,other,drug_trafficking,15,2022-04-18,unemployed,entrepreneurship_program,family_support,no,undergraduate_degree,"['driving_license_commercial', 'communication_skills', 'retail_management_basics', 'small_business_basics']",0
2158f4c3-795a-43b6-b8c1-b01e133d2d71,Joseph Martinez,53,female,burglary,6,2020-12-01,employed,mental_health_counseling_program,transitional_housing,yes,vocational_ualification,[],4
c52e7a12-0232-4031-9d75-e59da3bbb6c1,Brenda Fernandez,32,male,human_trafficking,11,2020-11-17,unemployed,none,family_support,no,vocational_ualification,[],6
caff513a-f791-4312-9958-18e5b7e497e5,Michael Tucker,44,male,stalking,8,2021-04-10,unemployed,none,family_support,yes,a_levels,[],20
31d11979-e533-486d-b0bf-5e34670cad06,Paul Fischer,55,other,disorderly_conduct,1,2022-08-07,self_employed,entrepreneurship_program,shared_housing,yes,a_levels,"['driving_license_commercial', 'communication_skills', 'electrical_installation', 'retail_management_basics', 'welding_certification']",18
5e1b9d08-505f-41f5-a265-367d14e2dd51,Thomas Ayers,53,male,human_trafficking,12,2024-08-10,employed,mental_health_counseling_program,shared_housing,no,a_levels,['project_management_basics'],9
cc220b5f-b6ac-4352-a5b9-4eec94d950ec,Rodney Mcfarland,42,other,child_endangerment,14,2020-10-18,part_time_employment,addiction_recovery_program,family_support,no,no_formal_qualification,"['welding_certification', 'catering_and_hospitality', 'project_management_basics', 'electrical_installation']",3
d99853fc-a711-424c-9f28-4fd644ea6fc6,Cynthia White,23,male,child_endangerment,13,2022-02-21,self_employed,vocational_training_program,family_support,no,vocational_ualification,"['project_management_basics', 'customer_service_training', 'it_support_certification', 'data_entry', 'first_aid_certification']",5
3e5798ee-e855-4242-a448-774d4a60752c,Dylan Martinez,49,male,burglary,3,2024-03-23,unemployed,entrepreneurship_program,family_support,yes,undergraduate_degree,[],14
3fc38d0a-3c78-4706-8d15-e1d9def4d454,David Holmes,57,male,domestic_violence,5,2021-11-11,unemployed,job_readiness_program,family_support,no,gcses,"['it_support_certification', 'small_business_basics', 'coding_basics', 'landscaping_and_gardening']",1
c042db88-526c-4b8e-80e7-a1596fd86a47,Lori Parker,47,male,motor_vehicle_theft,3,2021-10-15,self_employed,vocational_training_program,stable_housing,no,a_levels,['welding_certification'],7
0eb668b1-fe49-4d14-99bd-8d939f8d96bc,Martin Bryan,27,male,vandalism,1,2023-08-19,unemployed,entrepreneurship_program,family_support,yes,vocational_ualification,"['coding_basics', 'carpentry_skills']",7
acc717a4-9926-4975-90ec-9058612a52c8,Audrey Lewis,29,female,stalking,7,2022-10-01,unemployed,time_management_trainingsubstance_abuse_treatmentconflict_resolution_programfinancial_planning_workshopliteracy_and_numeracy_traininglife_skills_development_programcommunity_service_engagementpeer_support_groupsemotional_wellbeing_workshopspublic_speaking_trainingresume_and_interview_skillslegal_aid_support_programphysical_fitness_and_wellbeing,family_support,no,postgraduate_degree,['driving_license_commercial'],1
44be2dce-e3fd-40ca-b75d-51dd029104f5,Mary Salazar,48,male,bribery,10,2022-06-23,unemployed,mental_health_counseling_program,family_support,no,postgraduate_degree,"['driving_license_commercial', 'landscaping_and_gardening', 'retail_management_basics']",9
7b968205-832e-4c53-9e23-474b14964b76,Amanda Mcclure,29,male,embezzlement,10,2020-02-22,employed,vocational_training_program,shared_housing,yes,no_formal_qualification,"['coding_basics', 'customer_service_training', 'forklift_operation', 'health_and_safety_training', 'small_business_basics']",11
eb2b6077-7ae6-4841-aa93-0d210d64df5d,Joseph Arnold,19,female,bribery,10,2020-01-16,self_employed,entrepreneurship_program,stable_housing,yes,gcses,"['retail_management_basics', 'data_entry', 'electrical_installation']",3
5967a690-245b-43db-9b48-d6a0e178d9f8,Clifford Mccullough,47,male,motor_vehicle_theft,10,2023-10-12,self_employed,vocational_training_program,shared_housing,no,undergraduate_degree,"['catering_and_hospitality', 'retail_management_basics', 'welding_certification', 'communication_skills']",19
a34943c7-a010-4d43-bf47-18072009c0cf,Shelly Brown,34,male,human_trafficking,12,2023-04-19,self_employed,mental_health_counseling_program,transitional_housing,yes,no_formal_qualification,['forklift_operation'],4
a5de5101-3c4c-4b38-8b67-f2debbf3c0be,Teresa Trevino,22,female,credit_card_fraud,10,2022-08-25,unemployed,none,family_support,no,undergraduate_degree,"['first_aid_certification', 'customer_service_training', 'electrical_installation']",12
34d6f43d-1907-44d8-8222-680003641b17,Melinda Roberts,43,male,domestic_violence,5,2024-09-03,part_time_employment,none,shared_housing,yes,undergraduate_degree,"['plumbing_skills', 'project_management_basics']",7
43369dc2-1313-4104-9ffe-555b5c8afd65,Keith Diaz,33,female,human_trafficking,14,2022-10-03,unemployed,vocational_training_program,family_support,no,postgraduate_degree,"['driving_license_commercial', 'small_business_basics']",18
d2e7c290-d009-4aef-9c3c-e47de6ce4324,Kayla Bentley,29,female,animal_cruelty,1,2019-12-15,part_time_employment,addiction_recovery_program,shared_housing,yes,no_formal_qualification,"['driving_license_commercial', 'communication_skills', 'customer_service_training', 'forklift_operation']",20
ddaa0e3a-419a-400d-9efc-ff07d683eef5,Matthew Rollins,23,male,cybercrime,14,2021-07-13,unemployed,mental_health_counseling_program,family_support,no,undergraduate_degree,['coding_basics'],16
b9323d41-262c-4a55-9093-b92dd653ac8d,Robin Turner,25,other,human_trafficking,11,2023-01-20,part_time_employment,entrepreneurship_program,family_support,yes,postgraduate_degree,"['it_support_certification', 'project_management_basics', 'plumbing_skills', 'coding_basics']",2
68ce8546-d71f-46b8-820f-287fb2e138e8,David Conley,59,female,vandalism,1,2020-09-13,part_time_employment,computer_skills_trainingparenting_skills_workshop,family_support,no,vocational_ualification,"['first_aid_certification', 'driving_license_commercial', 'data_entry', 'small_business_basics']",7
215c3191-bf16-4596-a47f-f4301f6e0bf5,Timothy Mcbride,19,other,burglary,7,2022-11-03,part_time_employment,none,family_support,yes,undergraduate_degree,[],19
f6d47ed1-c867-4762-b1d3-c9ec79ff91e0,Christopher Rice,18,male,vandalism,1,2022-11-28,unemployed,computer_skills_trainingparenting_skills_workshop,family_support,no,vocational_ualification,"['it_support_certification', 'driving_license_commercial', 'welding_certification']",3
7ba4dd4e-ea0b-407b-a746-20755d168764,Deborah Scott DDS,34,other,shoplifting,2,2020-09-30,unemployed,none,family_support,yes,no_formal_qualification,[],4
09b39346-cfd4-4acd-83a7-df13a2598d4c,Brandon Dixon,48,male,public_intoxication,1,2020-03-31,employed,vocational_training_program,shared_housing,yes,no_formal_qualification,"['first_aid_certification', 'coding_basics']",9
c3b2ea76-4e9a-4b5f-a7b9-76c3b85855fd,Jon Roberts,46,male,shoplifting,1,2024-10-21,self_employed,addiction_recovery_program,shared_housing,no,vocational_ualification,"['plumbing_skills', 'data_entry']",8
bea9f7d4-4051-4f48-ad25-27122704cf66,Kylie Whitehead,57,male,cybercrime,12,2020-03-20,employed,financial_literacy_program,family_support,no,a_levels,"['project_management_basics', 'electrical_installation']",5
9cb5166c-dad7-4c6f-8e0b-18d0607b0216,Jason Lindsey,44,female,embezzlement,3,2022-01-09,part_time_employment,financial_literacy_program,shared_housing,no,postgraduate_degree,[],11
d6f87f27-e997-4857-beed-d6192ffa9355,Dale Rodriguez,30,other,stalking,8,2023-11-16,employed,job_readiness_program,transitional_housing,yes,gcses,[],0
ebbf2ec8-a907-49b8-a751-c90929621cf4,Suzanne Sanchez,53,female,cybercrime,14,2023-07-30,employed,none,transitional_housing,no,a_levels,"['data_entry', 'customer_service_training', 'carpentry_skills', 'plumbing_skills']",17
77903fd2-45f6-4e49-a1d7-03e734032759,Elizabeth Jennings,53,other,embezzlement,4,2024-05-14,part_time_employment,mental_health_counseling_program,shared_housing,no,a_levels,[],11
8cf8545d-e046-4f14-9fcd-ce443bbe687a,Cameron Sullivan,52,male,embezzlement,8,2021-08-26,unemployed,vocational_training_program,family_support,no,a_levels,"['catering_and_hospitality', 'small_business_basics', 'carpentry_skills', 'customer_service_training']",2
725b15b4-bb56-408c-ad3b-fa6d1eafc71a,Rose Simmons,53,female,cybercrime,11,2024-07-12,self_employed,addiction_recovery_program,stable_housing,no,vocational_ualification,"['coding_basics', 'plumbing_skills', 'communication_skills', 'carpentry_skills']",0
54734566-77eb-4dd7-878b-8992aa76d524,Debra Baker,50,female,vandalism,2,2019-12-23,part_time_employment,financial_literacy_program,shared_housing,no,gcses,[],10
db4fe324-7b75-4797-8082-df8979919cef,James Marshall,60,female,animal_cruelty,2,2022-10-09,employed,computer_skills_trainingparenting_skills_workshop,transitional_housing,yes,a_levels,"['forklift_operation', 'customer_service_training', 'landscaping_and_gardening']",6
